,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,60,60.0,60.0,48.6,48.6,48.6,48.6,48.6,32.1,21.6,21.6,21.6,11.100000000000001,11.100000000000001
1,60,60.0,49.5,49.5,49.5,49.5,31.8,31.8,31.8,31.8,31.8,31.8,23.1,23.1
2,60,60.0,60.0,49.5,49.5,49.5,49.5,49.5,39.0,39.0,39.0,28.5,28.5,28.5
3,60,60.0,60.0,60.0,60.0,60.0,60.0,49.5,49.5,49.5,39.0,30.3,23.1,23.1
4,60,60.0,60.0,60.0,60.0,60.0,60.0,48.6,48.6,48.6,38.1,29.400000000000002,29.400000000000002,29.400000000000002
5,60,52.8,35.099999999999994,35.099999999999994,35.099999999999994,35.099999999999994,35.099999999999994,35.099999999999994,24.599999999999994,8.099999999999994,8.099999999999994,8.099999999999994,8.099999999999994,-1.5000000000000053
6,60,52.8,45.0,45.0,45.0,45.0,45.0,33.6,33.6,33.6,23.1,23.1,23.1,23.1
7,60,52.8,52.8,52.8,52.8,44.099999999999994,44.099999999999994,44.099999999999994,44.099999999999994,27.599999999999994,27.599999999999994,27.599999999999994,27.599999999999994,16.199999999999996
8,60,60.0,60.0,60.0,52.8,52.8,52.8,45.599999999999994,45.599999999999994,45.599999999999994,45.599999999999994,45.599999999999994,45.599999999999994,45.599999999999994
9,60,60.0,42.3,42.3,42.3,42.3,30.9,30.9,30.9,30.9,23.099999999999998,23.099999999999998,15.299999999999997,15.299999999999997
